행정구역,2011년_총인구수,2011년_세대수,2011년_남자 인구수,2011년_여자 인구수,2012년_총인구수,2012년_세대수,2012년_남자 인구수,2012년_여자 인구수,2013년_총인구수,2013년_세대수,2013년_남자 인구수,2013년_여자 인구수,2014년_총인구수,2014년_세대수,2014년_남자 인구수,2014년_여자 인구수,2015년_총인구수,2015년_세대수,2015년_남자 인구수,2015년_여자 인구수,2016년_총인구수,2016년_세대수,2016년_남자 인구수,2016년_여자 인구수,2017년_총인구수,2017년_세대수,2017년_남자 인구수,2017년_여자 인구수,2018년_총인구수,2018년_세대수,2018년_남자 인구수,2018년_여자 인구수,2019년_총인구수,2019년_세대수,2019년_남자 인구수,2019년_여자 인구수,2020년_총인구수,2020년_세대수,2020년_남자 인구수,2020년_여자 인구수
전국,"50,734,284","20,033,142","25,406,934","25,327,350","50,948,272","20,211,770","25,504,060","25,444,212","51,141,463","20,456,588","25,588,336","25,553,127","51,327,916","20,724,094","25,669,296","25,658,620","51,529,338","21,011,152","25,758,186","25,771,152","51,696,216","21,294,009","25,827,594","25,868,622","51,778,544","21,632,851","25,855,919","25,922,625","51,826,059","22,042,947","25,866,129","25,959,930","51,849,861","22,481,466","25,864,816","25,985,045","51,829,023","23,093,108","25,841,029","25,987,994"
서울,"10,249,679","4,192,752","5,073,899","5,175,780","10,195,318","4,177,970","5,041,336","5,153,982","10,143,645","4,182,351","5,007,869","5,135,776","10,103,233","4,194,176","4,979,768","5,123,465","10,022,181","4,189,948","4,930,943","5,091,238","9,930,616","4,189,839","4,876,789","5,053,827","9,857,426","4,220,082","4,830,206","5,027,220","9,765,623","4,263,868","4,773,899","4,991,724","9,729,107","4,327,605","4,744,059","4,985,048","9,668,465","4,417,954","4,701,723","4,966,742"
부상,"3,550,963","1,381,257","1,762,848","1,788,115","3,538,484","1,389,526","1,754,479","1,784,005","3,527,635","1,404,663","1,747,000","1,780,635","3,519,401","1,421,648","1,740,417","1,778,984","3,513,777","1,437,818","1,735,570","1,778,207","3,498,529","1,451,270","1,725,607","1,772,922","3,470,653","1,467,555","1,709,508","1,761,145","3,441,453","1,480,468","1,692,421","1,749,032","3,413,841","1,497,908","1,675,417","1,738,424","3,391,946","1,530,431","1,661,000","1,730,946"
대구,"2,507,271","940,770","1,251,577","1,255,694","2,505,644","948,652","1,249,320","1,256,324","2,501,588","960,265","1,246,071","1,255,517","2,493,264","970,618","1,241,119","1,252,145","2,487,829","982,360","1,237,291","1,250,538","2,484,557","994,220","1,234,169","1,250,388","2,475,231","1,006,753","1,227,814","1,247,417","2,461,769","1,021,266","1,219,342","1,242,427","2,438,031","1,031,251","1,205,286","1,232,745","2,418,346","1,056,627","1,193,109","1,225,237"
인천,"2,801,274","1,077,563","1,410,980","1,390,294","2,843,981","1,097,491","1,431,593","1,412,388","2,879,782","1,118,988","1,448,835","1,430,947","2,902,608","1,136,280","1,459,074","1,443,534","2,925,815","1,154,004","1,469,869","1,455,946","2,943,069","1,171,399","1,477,671","1,465,398","2,948,542","1,188,917","1,479,597","1,468,945","2,954,642","1,213,201","1,481,844","1,472,798","2,957,026","1,238,641","1,482,249","1,474,777","2,942,828","1,267,956","1,473,943","1,468,885"
광주,"1,463,464","549,105","725,606","737,858","1,469,216","555,538","728,406","740,810","1,472,910","563,599","730,216","742,694","1,475,884","573,043","731,339","744,545","1,472,199","580,427","729,662","742,537","1,469,214","586,464","728,137","741,077","1,463,770","592,818","725,295","738,475","1,459,336","603,107","722,581","736,755","1,456,468","616,485","720,740","735,728","1,450,062","633,582","717,348","732,714"
대전,"1,515,603","566,324","759,188","756,415","1,524,583","575,600","763,671","760,912","1,532,811","584,877","767,309","765,502","1,531,809","592,508","766,497","765,312","1,518,775","597,008","759,778","758,997","1,514,370","606,137","757,289","757,081","1,502,227","614,639","750,969","751,258","1,489,936","624,965","744,338","745,598","1,474,870","635,343","736,607","738,263","1,463,882","652,783","730,699","733,183"
울산,"1,135,494","412,561","583,825","551,669","1,147,256","422,177","590,424","556,832","1,156,480","431,595","595,319","561,161","1,166,377","442,250","600,904","565,473","1,173,534","451,688","604,889","568,645","1,172,304","455,352","603,797","568,507","1,165,132","458,547","599,480","565,652","1,155,623","461,756","593,819","561,804","1,148,019","468,659","589,712","558,307","1,136,017","476,893","583,708","552,309"
세종,0,0,0,0,"113,117","46,592","57,633","55,484","122,153","50,045","62,205","59,948","156,125","62,807","78,862","77,263","210,884","81,806","105,752","105,132","243,048","94,343","121,505","121,543","280,100","109,490","139,734","140,366","314,126","123,762","156,831","157,295","340,575","135,408","169,845","170,730","355,831","144,275","177,568","178,263"
경기,"11,937,415","4,579,405","6,015,357","5,922,058","12,093,299","4,639,665","6,091,035","6,002,264","12,234,630","4,712,324","6,159,193","6,075,437","12,357,830","4,786,718","6,219,813","6,138,017","12,522,606","4,885,012","6,299,812","6,222,794","12,716,780","5,003,406","6,395,453","6,321,327","12,873,895","5,131,379","6,475,323","6,398,572","13,077,153","5,306,214","6,577,501","6,499,652","13,239,666","5,468,920","6,659,995","6,579,671","13,427,014","5,676,401","6,754,469","6,672,545"
